"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4YIJUKJW","presentation","2019","Ryu, Byungki; Chung, Jaywan; Lee, Jae Ki; Park, Jongho; Park, SuDong","BRyu_20190705_German-Korean TE workshop Daegu, Korea v2(update QnA)).pptx","","","","","","","2019-07-06","2021-09-06 01:16:54","2021-09-06 01:18:00","","","","","","","","","","","","","","Daegu, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\RVLGSR2P\BRyu_20190705_German-Korean TE workshop Daegu, Korea v2(update QnA)).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6th German-Korea Thermoelectric Workshop","","","","","","","","","","","","","","","",""
"EDFYNZTR","presentation","2016","Ryu, Byungki","제일원리 기반 열물성 계산","","","","","","","2016-08-18","2021-09-05 09:43:21","2022-06-04 10:16:23","","","","","","","","","","","","","","Muju, Korea","","","","","","","","","","C:\Users\cta4r\Zotero\storage\727MK94I\BRyu_20160818_열물성학회발표_v7_발표용-final.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Summer Workshop of the Korean Society of Thermophyiscal Properties (KSTP)","","","","","","","","","","","","","","","",""
"GJQ6IBLF","presentation","2012","Ryu, Byungki","Effect of light illumination and bias stress on the defect properties of oxygen vacancies in amorphous oxide semiconductors: a first principles study","","","","","","","2012-11-02","2021-09-05 09:40:57","2022-06-07 02:15:09","","","","","","","","","","","","","","KRISS, Daejeon, Korea","","","Seminar","","","","","","","C:\Users\cta4r\Zotero\storage\DRJT5MMR\BRyu_20121102_KRISS-CompMetrologyWorkshop_VO-a-IGZO_(invited).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KRISS Computational Metrology Workshop: Special Topics for Materials Innovations - Amorphous Oxide Semiconductors","","","","","","","","","","","","","","","",""
"3LS7TGBP","presentation","2017","Ryu, Byungki; Choi, Eun-Ae; Park, SuDong","Electronic Structures and Band Alignments of Mg (Si, Ge, Sn) Thermoelectric Materials","","","","","","","2017-03-13","2021-09-05 09:38:12","2021-09-05 09:40:42","","","","","","","","","","","","","","New Orleans, Louisiana, USA","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\A5FMDTSU\BRyu_20170313 v9 APS2017March_Mg2Si,Ge,Sn_gwAndBandLineup.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 APS March Meeting","","","","","","","","","","","","","","","",""
"NRTSCPMY","presentation","2016","Ryu, Byungki","Predicting Thermoelectric Properties of Bi-Te-Se Compounds: First-Principles Study","","","","","","","2016-06-17","2021-09-05 09:36:56","2021-09-05 09:37:45","","","","","","","","","","","","","","KIAS, Seoul, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\PY3ZM9VE\BRyu_20160616_ESCW2016-BTS221.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 12th KIAS Electronic Structure Calculations Workshop","","","","","","","","","","","","","","","",""
"M2G7UXFT","presentation","2015","Ryu, Byungki; Oh, Min-Wook; Park, SuDong","Density functional study of silver defects in telluride thermoelectric materials","","","","","","","2015-03-04","2021-09-05 09:32:57","2021-09-05 09:36:10","","","","","","","","","","","","","","San Antonio, Texas, US","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\9M92GW43\BRyu_20150304_APS-2015-March_Ag-in-Te.pdf; C:\Users\cta4r\Zotero\storage\EBE296RC\BRyu_20150304_APS-2015-March_Ag-in-Te.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 APS March Meeting","","","","","","","","","","","","","","","",""
"WI7LAX7D","presentation","2018","Ryu, Byungki; Chung, Jaywan; Lee, Jae Ki; Park, SuDong","Impurity-doping and Fermi-Level Tuning in Bi2Te3 related Alloys","","","","","","","2018-03-06","2021-09-05 09:30:53","2021-09-05 09:32:18","","","","","","","","","","","","","","LA, CA, US","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\I23DCK9C\BRyu_20180306-APS-March, Fermi level tuning in Bi2Te3 v14.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 APS March Meeting","","","","","","","","","","","","","","","",""
"XQNKQ4RE","presentation","2019","Ryu, Byungki; Chung, Jaywan; Park, SuDong","Right Definition of Figure of Merit toward Themoelectric Efficiency Prediction for Segmented Devices","","","","","","","2019-03-04","2021-09-05 09:28:12","2021-09-05 09:30:21","","","","","","","","","","","","","","Boston, Massachusetts, US","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\X3BV6UMR\BRyu_20190307_APS-march-2019_ZT-for-seg v3.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 APS March Meeting","","","","","","","","","","","","","","","",""
"DBDGD3A2","presentation","2013","Ryu, Byungki; Ahn, Kyunghan; Hwang, SW; Lee, SM; Lee, Kyu-Hyoung","Electronic structure of  impurity doped Bi2Te3-based thermoelectric materials","","","","","","","2013-06-21","2021-09-05 09:25:59","2023-06-29 01:11:47","","","","","","","","","","","","","","KIAS, Seoul, Korea","","","Invited Oral","","","","","","","C:\Users\cta4r\Zotero\storage\DRGQZVXM\BRyu_20130621_ESCW2013_M-inBSTS(invited).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9th KIAS Electronic Structure Calculations Workshop","","","","","","","","","","","","","","","",""
"4RWK8QCB","presentation","2021","Ryu, Byungki; Chung, Jayawn; Park, SuDong","Thermoelectric efficiency of thermoelectric heat engine with temperature dependent transport properties","","","","","","","2021-04-21","2021-08-22 04:18:31","2024-03-28 10:47:03","","","","","","","","","","","","","","Virtual, Korea","","","Invited Oral","","","","","","","C:\Users\cta4r\Zotero\storage\GKHCYDSJ\BRyu_20210421_KPS_TEEfficienccy_of_TE_Heat_Engine_V5_20210421_1104_no_video.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2021 Spring","","","","","","","","","","","","","","","",""
