"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"772KJ2PD","journalArticle","2008","Lee, W.-J.; Choi, E.-A.; Bang, J.; Ryu, B.; Chang, K. J.","Structural and electronic properties of crystalline InGaO3(ZnO)m","Applied Physics Letters","","0003-6951, 1077-3118","10.1063/1.2980583","http://scitation.aip.org/content/aip/journal/apl/93/11/10.1063/1.2980583","Based on theoretical calculations, we find that the crystal structure of In Ga O 3 ( Zn O ) m consists of an alternating stack of a wurtzite ( Ga ∕ Zn ) – O block and an In–O octahedral layer. In the ( Ga ∕ Zn ) – O block, the Ga atoms favor a modulated boundary structure against a flat boundary structure. The band spectrum shows that hole carriers are spatially confined whereas electrons move more freely through the whole crystal. The characteristics of a superlatticestructure appears especially in the flat boundary structure. The band gap decreases with m due to the reduction in the quantum confinement effect.","2008-09-15","2014-03-17 00:56:14","2021-10-29 03:45:37","2014-03-17 00:56:14","111901","","11","93","","","","","","","","","","","All rights reserved","","","","scitation.aip.org","","","","C:\Users\cta4r\Zotero\storage\NH4VJQ7K\Lee 등 - 2008 - Structural and electronic properties of crystallin.pdf","","","Band gap; Brillouin scattering; Crystal structure; II-VI semiconductors; Lattice constants; Ozone; Quantum effects; Superlattices; valence bands; Zinc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2M389BI6","journalArticle","2021","Jang, Hanhwi; Park, Jong Ho; Lee, Ho Seong; Ryu, Byungki; Park, Su-Dong; Ju, Hyeon-Ah; Yang, Sang-Hyeok; Kim, Young-Min; Nam, Woo Hyun; Wang, Heng; Male, James; Snyder, Gerald Jeffrey; Kim, Minjoon; Jung, Yeon Sik; Oh, Min-Wook","Regulating Te Vacancies through Dopant Balancing via Excess Ag Enables Rebounding Power Factor and High Thermoelectric Performance in p-Type PbTe","Advanced Science","","2198-3844","10.1002/advs.202100895","https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202100895","Thermoelectric properties are frequently manipulated by introducing point defects into a matrix. However, these properties often change in unfavorable directions owing to the spontaneous formation of vacancies at high temperatures. Although it is crucial to maintain high thermoelectric performance over a broad temperature range, the suppression of vacancies is challenging since their formation is thermodynamically preferred. In this study, using PbTe as a model system, it is demonstrated that a high thermoelectric dimensionless figure of merit, zT ≈ 2.1 at 723 K, can be achieved by suppressing the vacancy formation via dopant balancing. Hole-killer Te vacancies are suppressed by Ag doping because of the increased electron chemical potential. As a result, the re-dissolution of Na2Te above 623 K can significantly increase the hole concentration and suppress the drop in the power factor. Furthermore, point defect scattering in material systems significantly reduces lattice thermal conductivity. The synergy between defect and carrier engineering offers a pathway for achieving a high thermoelectric performance by alleviating the power factor drop and can be utilized to enhance thermoelectric properties of thermoelectric materials.","2021-10-20","2021-10-21 10:51:31","2021-10-21 10:51:41","2021-10-21 10:51:31","2100895","","20","8","","","","","","","","","","en","All rights reserved","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/advs.202100895","","C:\Users\cta4r\Zotero\storage\XD9EDJU2\Jang 등 - 2021 - Regulating Te Vacancies through Dopant Balancing v.pdf; C:\Users\cta4r\Zotero\storage\9LFCMR8Q\advs.html","","","defect engineering; power factor; re-dissolution; thermal conductivity; thermoelectrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2G68A7TU","conferencePaper","2011","Ryu, Byungki; Chang, Kee Joo","Electronic Structure of O‐vacancy in Amorphous Zinc‐Tin Oxides","AIP Conference Proceedings","978-0-7354-1002-2","","10.1063/1.3666284","http://scitation.aip.org/content/aip/proceeding/aipcp/10.1063/1.3666284","We study the atomic and electronic structure of O‐vacancy ( V O ) in amorphous Zn‐Sn‐O (a‐ZTO) through density functional calculations. Some of O‐vacancies are spontaneously ionized, donating electrons to the conduction band, while most V O defects act as deep donors. When V O is ionized, severe outward relaxations occur, increasing the stability of V O +2 . From the formation energies, the charge transition level of V O is found to be shallower in a‐ZTO, as compared to crystalline phase. We suggest that V O causes persistent photoconductivity in a‐ZTO.","2011-12-28","2014-01-27 06:17:29","2021-10-08 01:52:26","2014-01-27 06:17:29","117-118","","","1399","","","","","","","","","","","All rights reserved","","","","scitation.aip.org","","","","C:\Users\cta4r\Zotero\storage\C4KJ47P6\[017] AIP-CofProc1399,117(2011) Electronic structure of O-vacancy in a-ZTO.pdf; C:\Users\cta4r\Zotero\storage\53WUKPZR\1.html","","","Conduction bands; Conduction electrons; Crystal defects; Density functional theory; Electronic structure; Photoconductivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30th International Conference on the Physics of Semiconductors","","","","","","","","","","","","","","",""
"REXG67FF","conferencePaper","2011","Park, J.-S.; Ryu, B.; Moon, C.-Y.; Chang, K. J.","Hole Gas Induced by Defects in Ge/Si Core‐Shell Nanowires","AIP Conference Proceedings","978-0-7354-1002-2","","10.1063/1.3666374","http://scitation.aip.org/content/aip/proceeding/aipcp/10.1063/1.3666374","We investigate the defect levels of surface Si dangling bond (DB) and substitutional Au defects at/near the surfaces of Ge/Si core‐shell nanowires through spin‐polarized density‐functional calculations. Both surface Si DB and substitutional Au defects induce hole carriers in the Ge core by trapping electrons from the valence band maximum state. The reduced scattering by spatial separation of hole carriers and charge traps leads to the ballistic transport in core‐shell nanowire structures.","2011-12-28","2014-03-17 01:19:26","2021-10-08 01:52:22","2014-03-17 01:19:26","303-304","","","1399","","","","","","","","","","","All rights reserved","","","","scitation.aip.org","","","","C:\Users\cta4r\Zotero\storage\3NTMZKF4\1.html","","","valence bands; Defect levels; Dangling bonds; Delocalization processes; Electrons; Elemental semiconductors; Germanium; Gold; Nanowires; Surface states","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30th International Conference on the Physics of Semiconductors","","","","","","","","","","","","","","",""
"A5F38GV5","conferencePaper","2011","Noh, Hyeon-Kyun; Ryu, Byungki; Bang, Junhyeok; Chang, Kee Joo; Choi, Eun-Ae","The Electronic Structure of Oxygen Vacancy in Amorphous HfSiO4","AIP Conference Proceedings","978-0-7354-1002-2","","10.1063/1.3666255","http://scitation.aip.org/content/aip/proceeding/aipcp/10.1063/1.3666255","We perform first‐principles density functional calculations to investigate the electronic structure of O‐vacancy in amorphous HfSiO 4 . We find that O‐vacancies surrounded only by Si atoms are energetically most favorable and exhibit the defect levels similar to those of α‐quartz SiO 2 . When O‐vacancies have a mixture of Si and Hf atoms or only Hf atoms in the neighborhood, they behave as charge traps, similar to those in HfO 2 . We suggest that Si‐surrounded O‐vacancy defects play a role in improving the threshold voltage instability in HfSiO 4 ‐based metal‐oxide‐semiconductor devices.","2011-12-28","2014-03-17 01:18:37","2021-10-08 01:52:19","2014-03-17 01:18:37","57-58","","","1399","","","","","","","","","","","All rights reserved","","","","scitation.aip.org","","","","C:\Users\cta4r\Zotero\storage\GUA8RPUV\[015] AIP-CofProc1399,57(2011) The Electronic Structure of Oxygen Vacancy in a-HfSiO4.pdf; C:\Users\cta4r\Zotero\storage\2SI2BI2K\[016] AIP-CofProc1399,57(2011) The Electronic Structure of Oxygen Vacancy in a-HfSiO4.pdf; C:\Users\cta4r\Zotero\storage\VC6CIFJ2\1.html","","","Defect levels; Density functional theory; Electronic structure; Vacancies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30th International Conference on the Physics of Semiconductors","","","","","","","","","","","","","","",""
"FMCCGAD6","conferencePaper","2011","Chang, Kee Joo; Ryu, Byungki; Noh, Hyeon-Kyun; Bang, Junhyeok; Choi, Eun-Ae","Electronic Structure of O-vacancy in High-k Dielectrics and Oxide Semiconductors","MRS Online Proceedings Library","","","10.1557/opl.2011.771","https://doi.org/10.1557/opl.2011.771","","2011-05-20","2014-03-17 01:24:10","2021-10-08 01:51:02","","null-null","","","1370","","","","","","","","","","","All rights reserved","","","","Cambridge Journals Online","","","","C:\Users\cta4r\Zotero\storage\Q7REQAEM\displayAbstract.html; C:\Users\cta4r\Zotero\storage\RRNREJBK\Chang 등 - 2011 - Electronic Structure of O-vacancy in High-k Dielec.pdf","","","Electronic structure; defects; oxide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTBLLA9T","conferencePaper","2010","Ryu, B.; Chang, K.J.","Effect of O-vacancy on the device instability of amorphous zinc-tin-oxide thin-film-transistors","Proceedings of International Meeting on Information Display","978-1-61782-702-0","","","","We investigate the defect properties of amorphous zinc-tin-oxides through density functional calculations. In a-ZTO TFTs, O-vacancy is an electrically inactive defect under positive bias stress, whereas it is easily ionized under light illumination due to its shallow charge transition level.","2010-10-11","2014-03-17 01:04:23","2021-10-08 01:50:32","","664-665","","","","","","","","","","","","","English","All rights reserved","","Scopus","","Scopus","","ISSN: 1738-7558","","C:\Users\cta4r\Zotero\storage\BX5TBBVB\[011] Ryu,Chang,IMID2010,VO-a-ZTO.pdf; C:\Users\cta4r\Zotero\storage\R7NJ6JP6\display.html","","","First-principles; Transparent amorphous oxide; Zinc tin oxide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IMID/IDMC/ASIA Display 2010","","","","","","","","","","","","","","",""
"8RPG2PC8","journalArticle","2010","Ryu, Byungki; Noh, Hyeon-Kyun; Choi, Eun-Ae; Chang, K. J.","O-vacancy as the origin of negative bias illumination stress instability in amorphous In–Ga–Zn–O thin film transistors","Applied Physics Letters","","0003-6951, 1077-3118","10.1063/1.3464964","http://scitation.aip.org/content/aip/journal/apl/97/2/10.1063/1.3464964","We find that O-vacancy ( V O ) acts as a hole trap and plays a role in negative bias illumination stress instability in amorphous In–Ga–Zn–O thin film transistors.Photoexcited holes drift toward the channel/dielectric interface due to small potential barriers and can be captured by V O in the dielectrics. While some of V O + 2 defects are very stable at room temperature, their original deep states are recovered via electron capture upon annealing. We also find that V O + 2 can diffuse in amorphous phase, inducing hole accumulation near the interface under negative gate bias.","2010-07-15","2014-01-27 06:12:42","2021-10-08 01:45:27","2014-01-27 06:12:42","022108","","2","97","","","","","","","","","","","All rights reserved","","","","scitation.aip.org","","","","C:\Users\cta4r\Zotero\storage\JCH4H2BI\Ryu 등 - 2010 - O-vacancy as the origin of negative bias illuminat.pdf; C:\Users\cta4r\Zotero\storage\VTDJBHQQ\1.html","","","Band gap; Zinc; Defect levels; Crystal defects; Annealing; Condensed Matter - Materials Science; Condensed Matter - Other Condensed Matter; Dielectrics; Illumination; Molecular dynamics; Photoexcitations; Thin film transistors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55R2KKXU","journalArticle","2021","Ayachi, Sahar; Deshpande, Radhika; Ponnusamy, Prasanna; Park, Sungjin; Chung, Jaywan; Park, SuDong; Ryu, Byungki; Müller, Eckhard; de Boor, Johannes","Corrigendum to “On the relevance of point defects for the selection of contacting electrodes: Ag as an example for Mg2(Si,Sn)-based thermoelectric generators” [Mater. Today Phys. 16 (2021) 100309]","Materials Today Physics","","2542-5293","10.1016/j.mtphys.2021.100421","https://www.sciencedirect.com/science/article/pii/S2542529321000821","","2021-09-01","2021-05-07 02:30:02","2022-12-16 13:06:07","2021-09-23 03:31:04","100421","","","20","","Materials Today Physics","Corrigendum to “On the relevance of point defects for the selection of contacting electrodes","","","","","","","en","All rights reserved","","","","ScienceDirect","","","","C:\Users\cta4r\Zotero\storage\BMJV7IW4\Ayachi 등 - 2021 - Corrigendum to “On the relevance of point defects .pdf; C:\Users\cta4r\Zotero\storage\A3TUXVN6\S2542529321000821.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGJ6AULK","journalArticle","2014","Oh, Min-Wook; Kang, Tae-Gu; Ryu, Byungki; Lee, Ji Eun; Joo, Sung-Jae; Kim, Bong-Seo; Min, Dok-Ki; Lee, Hee-Woong; Park, Su-Dong","Electronic Structure and X-ray Absorption Spectra of Rutile TiO2 Using First-Principles Calculations","Korean Journal of Metals and Materials","","1738-8228, 2288-8241","10.3365/KJMM.2014.52.12.1025","http://210.101.116.102/journal_korea/detail_01.asp?a_key=3278060","","2014-12-05","2017-12-29 06:13:03","2021-09-21 12:06:25","2017-12-29 06:13:03","1025-1029","","12","52","","","","","","","","","","","All rights reserved","","","","CrossRef","","","","C:\Users\cta4r\Zotero\storage\UTB7M46G\[031.5]-2014-197.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
